title,networkStatus,link
Sequential informed federated unlearning: efficient and provable client unlearning in federated optimization,,https://paperswithcode.com/search?q_meta=&q_type=&q=Sequential%20informed%20federated%20unlearning:%20efficient%20and%20provable%20client%20unlearning%20in%20federated%20optimization
Machine unlearning of federated clusters,,https://paperswithcode.com/search?q_meta=&q_type=&q=Machine%20unlearning%20of%20federated%20clusters
FedHarmony: Unlearning Scanner Bias with?Distributed Data,,https://paperswithcode.com/search?q_meta=&q_type=&q=FedHarmony:%20Unlearning%20Scanner%20Bias%20with?Distributed%20Data
The Right to be Forgotten in Federated Learning: An Efficient Realization with Rapid Retraining,,https://paperswithcode.com/search?q_meta=&q_type=&q=The%20Right%20to%20be%20Forgotten%20in%20Federated%20Learning:%20An%20Efficient%20Realization%20with%20Rapid%20Retraining
Federated unlearning with knowledge distillation,,https://paperswithcode.com/search?q_meta=&q_type=&q=Federated%20unlearning%20with%20knowledge%20distillation
Federated unlearning,,https://paperswithcode.com/search?q_meta=&q_type=&q=Federated%20unlearning
Incentive Mechanism Design for Federated Learning and Unlearning,,
Forget-SVGD: Particle-Based Bayesian Federated Unlearning,,https://paperswithcode.com/search?q_meta=&q_type=&q=Forget-SVGD:%20Particle-Based%20Bayesian%20Federated%20Unlearning
BFU: Bayesian Federated Unlearning with Parameter Self-Sharing,,
Vertical Federated Unlearning on the Logistic Regression Model,,
Federated Unlearning: Guarantee the Right of Clients to Forget,,
Validation of?Federated Unlearning on?Collaborative Prostate Segmentation,,
Evaluating the world heart federation¡¯s 25 by 25: the forgotten                         millions,,
FedEraser: Enabling Efficient Client-Level Data Removal from Federated Learning Models,,
Federated unlearning and its privacy threats,,
VeriFi: towards verifiable federated unlearning,,https://paperswithcode.com/search?q_meta=&q_type=&q=VeriFi:%20towards%20verifiable%20federated%20unlearning
Federated unlearning via class-discriminative pruning,,https://paperswithcode.com/search?q_meta=&q_type=&q=Federated%20unlearning%20via%20class-discriminative%20pruning
Heterogeneous Federated Knowledge Graph Embedding Learning and Unlearning,,https://paperswithcode.com/search?q_meta=&q_type=&q=Heterogeneous%20Federated%20Knowledge%20Graph%20Embedding%20Learning%20and%20Unlearning
RevFRF: enabling cross-domain random forest training with revocable federated learning,,
Asynchronous federated unlearning,,
Federated learning over images: vertical decompositions and pre-trained backbones are difficult to beat,,https://paperswithcode.com/search?q_meta=&q_type=&q=Federated%20learning%20over%20images:%20vertical%20decompositions%20and%20pre-trained%20backbones%20are%20difficult%20to%20beat
Re-weighted softmax cross-entropy to control forgetting in federated learning,,https://paperswithcode.com/search?q_meta=&q_type=&q=Re-weighted%20softmax%20cross-entropy%20to%20control%20forgetting%20in%20federated%20learning
SIFU: sequential informed federated unlearning for efficient and provable client unlearning in federated optimization,,https://paperswithcode.com/search?q_meta=&q_type=&q=SIFU:%20sequential%20informed%20federated%20unlearning%20for%20efficient%20and%20provable%20client%20unlearning%20in%20federated%20optimization
Exact-fun: an exact and efficient federated unlearning approach,,
Compressed particle-based federated bayesian learning and unlearning,,https://paperswithcode.com/search?q_meta=&q_type=&q=Compressed%20particle-based%20federated%20bayesian%20learning%20and%20unlearning
