标题,iF,分区
NATURE IMMUNOLOGY,20.479,Q1
Nature Reviews Cardiology,20.26,Q1
NATURE NEUROSCIENCE,20.071,Q1
NATURE CELL BIOLOGY,20.042,Q1
Living Reviews in Solar Physics,20,Q1
Annual Review of Immunology,19.9,Q1
GUT,19.819,Q1
Chem,19.735,Q1
Annual Review of Physiology,19.556,Q1
Annual Review of Plant Biology,19.54,Q1
Nature Physics,19.256,Q1
ACS Energy Letters,19.003,Q1 Q1Q1Q1Q1Q1
Nature Biomedical Engineering,18.952,Q1
EUROPEAN UROLOGY,18.728,Q1
Science Robotics,18.684,Q1
JAMA Internal Medicine,18.652,Q1
ANNALS OF ONCOLOGY,18.274,Q1
Psychological Science in the Public Interest,18.25,Q1
Annual Review of Psychology,18.111,Q1 Q1Q1
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,17.861,Q1 Q1Q1
BLOOD,17.794,Q1
INTENSIVE CARE MEDICINE,17.679,Q1
JAMA Psychiatry,17.471,Q1 Q1Q1
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,17.452,Q1 Q1Q1
PHARMACOLOGICAL REVIEWS,17.395,Q1
GASTROENTEROLOGY,17.373,Q1
BEHAVIORAL AND BRAIN SCIENCES,17.333,Q1 Q1Q1Q1
Alzheimers & Dementia,17.127,Q1
Applied Physics Reviews,17.054,Q1
REPORTS ON PROGRESS IN PHYSICS,17.032,Q1
Nano Today,16.907,Q1 Q1Q1Q1
ADVANCED FUNCTIONAL MATERIALS,16.836,Q1 Q1Q1Q1Q1Q1Q1
Wiley Interdisciplinary Reviews-Computational Molecular Science,16.778,Q1 Q1Q1
Annual Review of Pathology-Mechanisms of Disease,16.75,Q1
National Science Review,16.693,Q1
APPLIED CATALYSIS B-ENVIRONMENTAL,16.683,Q1 Q1Q1Q1
Nature Reviews Rheumatology,16.625,Q1
Nano Energy,16.602,Q1 Q1Q1Q1Q1
Annual Review of Public Health,16.463,Q1 Q1Q1
ADVANCES IN PHYSICS,16.375,Q1
Annual Review of Marine Science,16.359,Q1 Q1Q1Q1
Annual Review of Fluid Mechanics,16.306,Q1 Q1Q1
Science Translational Medicine,16.304,Q1 Q1Q1
Lancet Public Health,16.292,Q1 Q1Q1
Energy Storage Materials,16.28,Q1 Q1Q1Q1
Lancet Psychiatry,16.209,Q1 Q1Q1
ANNALS OF THE RHEUMATIC DISEASES,16.102,Q1
TRENDS IN CELL BIOLOGY,16.041,Q1
DIABETES CARE,16.019,Q1
ASTRONOMY AND ASTROPHYSICS REVIEW,16,Q1
Cell Host & Microbe,15.923,Q1 Q1Q1Q1
Advanced Science,15.84,Q1 Q1Q1Q1
MOLECULAR CELL,15.584,Q1 Q1Q1
Annual Review of Biomedical Engineering,15.541,Q1
Nature Microbiology,15.54,Q1
FUNGAL DIVERSITY,15.386,Q1
COORDINATION CHEMISTRY REVIEWS,15.367,Q1
Molecular Cancer,15.302,Q1 Q1Q1
TRENDS IN COGNITIVE SCIENCES,15.218,Q1 Q1Q1Q1
PROGRESS IN LIPID RESEARCH,15.083,Q1 Q1Q1
Journal of Extracellular Vesicles,14.976,Q1
PSYCHOTHERAPY AND PSYCHOSOMATICS,14.864,Q1 Q1Q1Q1
PROGRESS IN RETINAL AND EYE RESEARCH,14.86,Q1
Annual Review of Condensed Matter Physics,14.833,Q1
Lancet HIV,14.813,Q1 Q1Q1
Lancet Gastroenterology & Hepatology,14.789,Q1
Physics of Life Reviews,14.789,Q1 Q1Q1
TRENDS IN ECOLOGY & EVOLUTION,14.764,Q1 Q1Q1Q1
TRENDS IN BIOCHEMICAL SCIENCES,14.732,Q1
Advances in Optics and Photonics,14.69,Q1
HEPATOLOGY,14.679,Q1
Annual Review of Cell and Developmental Biology,14.667,Q1 Q1Q1
ENDOCRINE REVIEWS,14.661,Q1
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,14.612,Q1
ACS Nano,14.588,Q1 Q1Q1Q1Q1
JOURNAL OF PINEAL RESEARCH,14.528,Q1 Q1Q1Q1
CIRCULATION RESEARCH,14.467,Q1 Q1Q1Q1
INTERNATIONAL MATERIALS REVIEWS,14.429,Q1
TRENDS IN PLANT SCIENCE,14.416,Q1
NEURON,14.415,Q1
TRENDS IN BIOTECHNOLOGY,14.343,Q1
International Review of Sport and Exercise Psychology,14.333,Q1 Q1Q1
ACTA NEUROPATHOLOGICA,14.256,Q1 Q1Q1Q1
AMERICAN JOURNAL OF PSYCHIATRY,14.119,Q1 Q1Q1
Annual Review of Ecology Evolution and Systematics,14.041,Q1 Q1Q1
JAMA Pediatrics,13.946,Q1
IMMUNOLOGICAL REVIEWS,13.939,Q1
FEMS MICROBIOLOGY REVIEWS,13.92,Q1
Annual Review of Entomology,13.796,Q1
Light-Science & Applications,13.714,Q1
Annual Review of Clinical Psychology,13.692,Q1 Q1Q1
Information Fusion,13.669,Q1 Q1Q1
Journal of Statistical Software,13.642,Q1 Q1Q1
JAMA Surgery,13.625,Q1
JAMA Neurology,13.608,Q1
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,13.606,Q1
IEEE Industrial Electronics Magazine,13.593,Q1
Nature Geoscience,13.566,Q1
TRENDS IN MICROBIOLOGY,13.546,Q1 Q1Q1
TRENDS IN PHARMACOLOGICAL SCIENCES,13.503,Q1
MALACOLOGIA,13.5,Q1
Signal Transduction and Targeted Therapy,13.493,Q1 Q1Q1
Science Immunology,13.44,Q1
TRENDS IN IMMUNOLOGY,13.422,Q1
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,13.421,Q1 Q1Q1
Journal of Thoracic Oncology,13.357,Q1 Q1Q1
ADVANCED DRUG DELIVERY REVIEWS,13.3,Q1
Nature Plants,13.256,Q1
Science Advances,13.117,Q1
IEEE Geoscience and Remote Sensing Magazine,13,Q1 Q1Q1Q1
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,12.959,Q1
TRENDS IN NEUROSCIENCES,12.891,Q1
Kidney International Supplements,12.818,Q1
JAMA Cardiology,12.794,Q1
JACC-Cardiovascular Imaging,12.74,Q1 Q1Q1
ACS Central Science,12.685,Q1
HUMAN REPRODUCTION UPDATE,12.684,Q1 Q1Q1
BRITISH JOURNAL OF SPORTS MEDICINE,12.68,Q1
Annual Review of Phytopathology,12.623,Q1
Nature Chemical Biology,12.587,Q1
Physical Review X,12.577,Q1
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,12.568,Q1
Nature Ecology & Evolution,12.543,Q1 Q1Q1
Annual Review of Materials Research,12.531,Q1
Annual Review of Neuroscience,12.528,Q1
MOLECULAR PSYCHIATRY,12.384,Q1 Q1Q1Q1
ACS Catalysis,12.35,Q1
EUROPEAN RESPIRATORY JOURNAL,12.339,Q1
Ocular Surface,12.336,Q1
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,12.321,Q1
Materials Horizons,12.319,Q1 Q1Q1
Nature Human Behaviour,12.282,Q1 Q1Q1Q1
Nano-Micro Letters,12.264,Q1 Q1Q1Q1
Small Methods,12.13,Q1 Q1Q1Q1
Nature Communications,12.121,Q1
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,12.11,Q1 Q1Q1
BIOLOGICAL PSYCHIATRY,12.095,Q1 Q1Q1
Molecular Plant,12.084,Q1 Q1Q1
Nature Sustainability,12.08,Q1 Q1Q1Q1
NATURAL PRODUCT REPORTS,12,Q1 Q1Q1Q1
BASIC RESEARCH IN CARDIOLOGY,11.981,Q1
NATURE STRUCTURAL & MOLECULAR BIOLOGY,11.98,Q1 Q1Q1Q1
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,11.952,Q1
JOURNAL OF CLINICAL INVESTIGATION,11.864,Q1
Academy of Management Annals,11.75,Q1 Q1Q1
JOURNAL OF EXPERIMENTAL MEDICINE,11.743,Q1 Q1Q1
Annual Review of Biophysics,11.685,Q1
TRENDS IN ENDOCRINOLOGY AND METABOLISM,11.641,Q1
EUROPEAN JOURNAL OF HEART FAILURE,11.627,Q1
Microbiome,11.607,Q1
JNCI-Journal of the National Cancer Institute,11.577,Q1
Nature Astronomy,11.518,Q1
Bone Research,11.508,Q1
NUCLEIC ACIDS RESEARCH,11.502,Q1
Small,11.459,Q1 Q1Q1Q1Q1Q1Q1
SIAM REVIEW,11.431,Q1
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,11.42,Q1 Q1Q1
IEEE WIRELESS COMMUNICATIONS,11.391,Q1 Q1Q1Q1Q1
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,11.389,Q1
QUARTERLY JOURNAL OF ECONOMICS,11.375,Q1
IEEE SIGNAL PROCESSING MAGAZINE,11.35,Q1
BRAIN,11.337,Q1 Q1Q1
TRENDS IN GENETICS,11.333,Q1
Journal of Materials Chemistry A,11.301,Q1 Q1Q1Q1
Annual Review of Pharmacology and Toxicology,11.25,Q1 Q1Q1
NANO LETTERS,11.238,Q1 Q1Q1Q1Q1Q1Q1
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,11.169,Q1 Q1Q1
MEDICAL IMAGE ANALYSIS,11.148,Q1 Q1Q1Q1Q1
Annual Review of Genetics,11.146,Q1
TRENDS IN MOLECULAR MEDICINE,11.099,Q1 Q1Q1Q1
GENOME RESEARCH,11.093,Q1 Q1Q1Q1
Trends in Cancer,11.093,Q1
SEMINARS IN CANCER BIOLOGY,11.09,Q1
IEEE Transactions on Cybernetics,11.079,Q1 Q1Q1Q1
TRENDS IN FOOD SCIENCE & TECHNOLOGY,11.077,Q1
MOLECULAR BIOLOGY AND EVOLUTION,11.062,Q1 Q1Q1Q1
Journal of Hematology & Oncology,11.059,Q1 Q1Q1
IEEE COMMUNICATIONS MAGAZINE,11.052,Q1 Q1Q1
Nature Reviews Urology,11,Q1
DRUG RESISTANCE UPDATES,11,Q1
Annual Review of Microbiology,11,Q1
Annual Review of Nutrition,10.897,Q1
THORAX,10.844,Q1
GENOME BIOLOGY,10.806,Q1 Q1Q1
Annual Review of Organizational Psychology and Organizational Behavior,10.795,Q1 Q1Q1
ENTREPRENEURSHIP THEORY AND PRACTICE,10.75,Q1
BIOTECHNOLOGY ADVANCES,10.744,Q1
CELL DEATH AND DIFFERENTIATION,10.717,Q1 Q1Q1
BIOLOGICAL REVIEWS,10.701,Q1
Genome Medicine,10.675,Q1
Laser & Photonics Reviews,10.655,Q1 Q1Q1Q1
CHEMICAL ENGINEERING JOURNAL,10.652,Q1 Q1Q1
Annual Review of Physical Chemistry,10.638,Q1
AGEING RESEARCH REVIEWS,10.616,Q1 Q1Q1
Journal of Industrial Information Integration,10.615,Q1 Q1Q1
PHARMACOLOGY & THERAPEUTICS,10.557,Q1
AMERICAN JOURNAL OF HUMAN GENETICS,10.502,Q1
PLOS MEDICINE,10.5,Q1
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,10.466,Q1 Q1Q1Q1
Materials Today Physics,10.443,Q1 Q1Q1
Reviews in Mineralogy & Geochemistry,10.438,Q1 Q1Q1
Nature Protocols,10.419,Q1
SYSTEMATIC BIOLOGY,10.408,Q1
Lancet Haematology,10.406,Q1
BIOMATERIALS,10.317,Q1 Q1Q1
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,10.312,Q1
BIOSENSORS & BIOELECTRONICS,10.257,Q1 Q1Q1Q1Q1Q1
CLINICAL PSYCHOLOGY REVIEW,10.255,Q1
PROCEEDINGS OF THE IEEE,10.252,Q1
Journal for ImmunoTherapy of Cancer,10.252,Q1 Q1Q1
NEURO-ONCOLOGY,10.247,Q1 Q1Q1
Dialogues in Human Geography,10.231,Q1
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,10.228,Q1 Q1Q1
AMERICAN JOURNAL OF GASTROENTEROLOGY,10.171,Q1
Protein & Cell,10.164,Q1
ANNALS OF SURGERY,10.13,Q1
CLINICAL CANCER RESEARCH,10.107,Q1
DEVELOPMENTAL CELL,10.092,Q1 Q1Q1
Redox Biology,9.986,Q1
IEEE Internet of Things Journal,9.936,Q1 Q1Q1Q1
Nanoscale Horizons,9.927,Q1 Q1Q1Q1
ADVANCES IN COLLOID AND INTERFACE SCIENCE,9.922,Q1
PSYCHOLOGICAL INQUIRY,9.917,Q1
JOURNAL OF ECONOMIC PERSPECTIVES,9.912,Q1
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,9.912,Q1
EMBO JOURNAL,9.889,Q1 Q1Q1
Journal of Cachexia Sarcopenia and Muscle,9.802,Q1 Q1Q1
TRAC-TRENDS IN ANALYTICAL CHEMISTRY,9.801,Q1
ANGIOGENESIS,9.78,Q1
Optica,9.778,Q1
Autophagy,9.77,Q1
CANCER RESEARCH,9.727,Q1
EARTH-SCIENCE REVIEWS,9.724,Q1
Liver Cancer,9.72,Q1 Q1Q1
Annual Review of Medicine,9.716,Q1
CURRENT OPINION IN CHEMICAL BIOLOGY,9.689,Q1 Q1Q1
SURFACE SCIENCE REPORTS,9.688,Q1 Q1Q1
PLANT CELL,9.618,Q1 Q1Q1Q1
SLEEP MEDICINE REVIEWS,9.607,Q1 Q1Q1
CURRENT BIOLOGY,9.601,Q1 Q1Q1Q1
LAB ANIMAL,9.6,Q1
Molecular Neurodegeneration,9.599,Q1
Arthritis & Rheumatology,9.586,Q1
MOLECULAR ASPECTS OF MEDICINE,9.577,Q1 Q1Q1
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,9.571,Q1 Q1Q1Q1
CHEMISTRY OF MATERIALS,9.567,Q1 Q1Q1
Annual Review of Chemical and Biomolecular Engineering,9.561,Q1 Q1Q1
GENES & DEVELOPMENT,9.527,Q1 Q1Q1Q1
IEEE TRANSACTIONS ON FUZZY SYSTEMS,9.518,Q1 Q1Q1
Science Bulletin,9.511,Q1
GREEN CHEMISTRY,9.48,Q1 Q1Q1
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,9.412,Q1
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,9.384,Q1
PROGRESS IN NEUROBIOLOGY,9.371,Q1
Chemical Science,9.346,Q1
npj Computational Materials,9.341,Q1 Q1Q1
IEEE TRANSACTIONS ON IMAGE PROCESSING,9.34,Q1 Q1Q1
npj 2D Materials and Applications,9.324,Q1 Q1Q1Q1
Journal of the National Comprehensive Cancer Network,9.316,Q1
IEEE Transactions on Systems Man Cybernetics-Systems,9.309,Q1 Q1Q1
MEDICINAL RESEARCH REVIEWS,9.3,Q1 Q1Q1
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,9.295,Q1 Q1Q1
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,9.274,Q1
INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,9.219,Q1
Earth System Science Data,9.197,Q1 Q1Q1
SEMINARS IN IMMUNOLOGY,9.186,Q1
ISME Journal,9.18,Q1 Q1Q1
Analytic Methods in Accident Research,9.179,Q1 Q1Q1
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,9.158,Q1 Q1Q1
JACC-Heart Failure,9.14,Q1
WATER RESEARCH,9.13,Q1 Q1Q1Q1
IEEE Transactions on Industrial Informatics,9.112,Q1 Q1Q1Q1
Annual Review of Earth and Planetary Sciences,9.089,Q1 Q1Q1
REMOTE SENSING OF ENVIRONMENT,9.085,Q1 Q1Q1Q1
IEEE Computational Intelligence Magazine,9.083,Q1
FRONTIERS IN NEUROENDOCRINOLOGY,9.044,Q1 Q1Q1
JOURNAL OF HAZARDOUS MATERIALS,9.038,Q1 Q1Q1
ANNALS OF NEUROLOGY,9.037,Q1 Q1Q1
STUDIES IN MYCOLOGY,9.027,Q1
Molecular Systems Biology,8.991,Q1
BRIEFINGS IN BIOINFORMATICS,8.99,Q1 Q1Q1
MOLECULAR THERAPY,8.986,Q1 Q1Q1Q1
Annual Review of Food Science and Technology,8.96,Q1
KIDNEY INTERNATIONAL,8.945,Q1
PROGRESS IN AEROSPACE SCIENCES,8.94,Q1
Social Issues and Policy Review,8.938,Q1 Q1Q1
GENETICS IN MEDICINE,8.904,Q1
PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,8.892,Q1 Q1Q1Q1
MASS SPECTROMETRY REVIEWS,8.887,Q1
CANCER TREATMENT REVIEWS,8.885,Q1
JOURNAL OF MANAGEMENT,8.852,Q1 Q1Q1Q1
APPLIED ENERGY,8.848,Q1 Q1Q1
EMBO Molecular Medicine,8.821,Q1
CARBON,8.821,Q1 Q1Q1
JOURNAL OF CELL BIOLOGY,8.811,Q1
IEEE NETWORK,8.808,Q1 Q1Q1Q1Q1
IEEE Transactions on Neural Networks and Learning Systems,8.793,Q1 Q1Q1Q1Q1
Annual Review of Nuclear and Particle Science,8.778,Q1 Q1Q1
NEUROLOGY,8.77,Q1
ACS Applied Materials & Interfaces,8.758,Q1 Q1Q1
Cancer Immunology Research,8.728,Q1 Q1Q1
Bioactive Materials,8.724,Q1 Q1Q1
ALLERGY,8.706,Q1 Q1Q1
MOVEMENT DISORDERS,8.679,Q1
Cell Systems,8.673,Q1 Q1Q1
ECOLOGY LETTERS,8.665,Q1
LEUKEMIA,8.665,Q1 Q1Q1
Journal of Crohns & Colitis,8.658,Q1
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,8.631,Q1 Q1Q1
Theranostics,8.579,Q1
MATRIX BIOLOGY,8.572,Q1 Q1Q1
GLOBAL CHANGE BIOLOGY,8.555,Q1 Q1Q1Q1
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,8.552,Q1 Q1Q1Q1Q1
SPORTS MEDICINE,8.551,Q1
Clinical Gastroenterology and Hepatology,8.549,Q1
Lancet Child & Adolescent Health,8.543,Q1
NEW PHYTOLOGIST,8.512,Q1
Cellular & Molecular Immunology,8.484,Q1
OPHTHALMOLOGY,8.47,Q1
ACTA NUMERICA,8.455,Q1
JACC-Cardiovascular Interventions,8.432,Q1
PSYCHOLOGICAL METHODS,8.43,Q1
Environmental Innovation and Societal Transitions,8.4,Q1 Q1Q1
PHYSICAL REVIEW LETTERS,8.385,Q1
ACADEMY OF MANAGEMENT REVIEW,8.365,Q1 Q1Q1
CURRENT OPINION IN PLANT BIOLOGY,8.356,Q1
Applied Materials Today,8.352,Q1
CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES,8.344,Q1 Q1Q1
ENVIRONMENTAL HEALTH PERSPECTIVES,8.341,Q1 Q1Q1Q1
Advances in Applied Mechanics,8.333,Q1 Q1Q1
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,8.329,Q1 Q1Q1
CEMENT AND CONCRETE RESEARCH,8.328,Q1 Q1Q1
REVIEW OF EDUCATIONAL RESEARCH,8.327,Q1
CLINICAL INFECTIOUS DISEASES,8.313,Q1 Q1Q1Q1
CHEST,8.308,Q1 Q1Q1
ADMINISTRATIVE SCIENCE QUARTERLY,8.304,Q1 Q1Q1
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,8.302,Q1
CURRENT OPINION IN BIOTECHNOLOGY,8.288,Q1 Q1Q1
Advanced Optical Materials,8.286,Q1 Q1Q1
BIOSCIENCE,8.282,Q1
ECONOMIC GEOGRAPHY,8.279,Q1 Q1Q1
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,8.277,Q1
Perspectives on Psychological Science,8.275,Q1
IEEE Transactions on Smart Grid,8.267,Q1
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,8.263,Q1 Q1Q1Q1
JOURNAL OF POWER SOURCES,8.247,Q1 Q1Q1Q1Q1
CURRENT OPINION IN CELL BIOLOGY,8.24,Q1
PERSOONIA,8.227,Q1
Biofabrication,8.213,Q1 Q1Q1
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,8.21,Q1
ENERGY CONVERSION AND MANAGEMENT,8.208,Q1 Q1Q1Q1
Astrophysical Journal Letters,8.201,Q1
Nano Research,8.183,Q1 Q1Q1Q1Q1
CARDIOVASCULAR RESEARCH,8.168,Q1
EPIDEMIOLOGIC REVIEWS,8.16,Q1
PLANT BIOTECHNOLOGY JOURNAL,8.154,Q1 Q1Q1
CURRENT OPINION IN MICROBIOLOGY,8.134,Q1
NPG Asia Materials,8.131,Q1
Cell Reports,8.109,Q1
CRITICAL REVIEWS IN BIOTECHNOLOGY,8.108,Q1
RESOURCES CONSERVATION AND RECYCLING,8.086,Q1 Q1Q1
Annual Review of Environment and Resources,8.065,Q1 Q1Q1
Blood Cancer Journal,8.023,Q1 Q1Q1
Annual Review of Virology,8.021,Q1
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,8.019,Q1 Q1Q1
ACM COMPUTING SURVEYS,7.99,Q1
ONCOGENE,7.971,Q1 Q1Q1Q1Q1
ChemSusChem,7.962,Q1 Q1Q1
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,7.959,Q1
SCHIZOPHRENIA BULLETIN,7.958,Q1 Q1Q1
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,7.95,Q1
RADIOLOGY,7.931,Q1
IEEE Vehicular Technology Magazine,7.921,Q1 Q1Q1Q1
Clinical and Translational Medicine,7.919,Q1 Q1Q1
Cochrane Database of Systematic Reviews,7.89,Q1
JOURNAL OF CATALYSIS,7.888,Q1 Q1Q1
JOURNAL OF NUCLEAR MEDICINE,7.887,Q1
JOURNAL OF HEART AND LUNG TRANSPLANTATION,7.865,Q1 Q1Q1Q1Q1
ENVIRONMENTAL SCIENCE & TECHNOLOGY,7.864,Q1 Q1Q1
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,7.862,Q1 Q1Q1
BRITISH JOURNAL OF PSYCHIATRY,7.85,Q1 Q1Q1
BROOKINGS PAPERS ON ECONOMIC ACTIVITY,7.8,Q1
Reviews in Aquaculture,7.772,Q1
AUTOIMMUNITY REVIEWS,7.767,Q1
CANADIAN MEDICAL ASSOCIATION JOURNAL,7.744,Q1
Gut Microbes,7.74,Q1 Q1Q1
Cell Chemical Biology,7.739,Q1
JAMA Dermatology,7.738,Q1
BRITISH JOURNAL OF PHARMACOLOGY,7.73,Q1
JOURNAL OF CONTROLLED RELEASE,7.727,Q1 Q1Q1
Neurology-Neuroimmunology & Neuroinflammation,7.724,Q1 Q1Q1
ECOLOGICAL MONOGRAPHS,7.722,Q1
DIABETES,7.72,Q1
PERIODONTOLOGY 2000,7.718,Q1
npj Precision Oncology,7.717,Q1
HYPERTENSION,7.713,Q1
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,7.707,Q1
Computer Science Review,7.707,Q1 Q1Q1Q1
PROGRESS IN PHOTOVOLTAICS,7.69,Q1 Q1Q1Q1
Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,7.689,Q1 Q1Q1
Environmental Science-Nano,7.683,Q1 Q1Q1Q1
Environmental Science & Technology Letters,7.678,Q1 Q1Q1
ACTA MATERIALIA,7.656,Q1 Q1Q1
AMERICAN JOURNAL OF BIOETHICS,7.647,Q1 Q1Q1Q1Q1
NUTRITION RESEARCH REVIEWS,7.641,Q1
Cold Spring Harbor Perspectives in Biology,7.64,Q1
COMPOSITES PART B-ENGINEERING,7.635,Q1 Q1Q1
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,7.634,Q1
ACS Sustainable Chemistry & Engineering,7.632,Q1 Q1Q1Q1
JOURNAL OF BUSINESS VENTURING,7.59,Q1
ENVIRONMENT INTERNATIONAL,7.577,Q1
Journal of Allergy and Clinical Immunology-In Practice,7.574,Q1 Q1Q1
